path,tardy,makespan
C:/Users/user/gurobi/CA2/500tests/test0.csv,784,1032.5626809512826
C:/Users/user/gurobi/CA2/500tests/test2.csv,579,777.975988988981
C:/Users/user/gurobi/CA2/500tests/test4.csv,969,733.60034680205
C:/Users/user/gurobi/CA2/500tests/test5.csv,963,1367.9705571628099
C:/Users/user/gurobi/CA2/500tests/test6.csv,968,1004.206686351772
C:/Users/user/gurobi/CA2/500tests/test7.csv,722,2649.175406193601
C:/Users/user/gurobi/CA2/500tests/test8.csv,576,549.910287198834
C:/Users/user/gurobi/CA2/500tests/test9.csv,932,697.6564826337207
C:/Users/user/gurobi/CA2/500tests/test10.csv,912,1747.5118778930619
C:/Users/user/gurobi/CA2/500tests/test11.csv,819,1849.4021902543973
C:/Users/user/gurobi/CA2/500tests/test12.csv,857,606.1230771621836
C:/Users/user/gurobi/CA2/500tests/test13.csv,836,770.0900789500229
C:/Users/user/gurobi/CA2/500tests/test14.csv,720,1152.534511442888
C:/Users/user/gurobi/CA2/500tests/test15.csv,667,551.0493712056626
C:/Users/user/gurobi/CA2/500tests/test16.csv,624,590.0283762436969
C:/Users/user/gurobi/CA2/500tests/test17.csv,656,865.8449629799306
C:/Users/user/gurobi/CA2/500tests/test18.csv,561,412.9020247594975
C:/Users/user/gurobi/CA2/500tests/test19.csv,922,4796.8369671771015
C:/Users/user/gurobi/CA2/500tests/test20.csv,904,4413.999605144816
C:/Users/user/gurobi/CA2/500tests/test22.csv,589,588.3725433112305
C:/Users/user/gurobi/CA2/500tests/test23.csv,580,693.2337261156234
C:/Users/user/gurobi/CA2/500tests/test24.csv,675,1094.0339073023224
C:/Users/user/gurobi/CA2/500tests/test25.csv,511,406.49267358867576
C:/Users/user/gurobi/CA2/500tests/test26.csv,804,528.5007554896772
C:/Users/user/gurobi/CA2/500tests/test27.csv,686,560.4789938323986
C:/Users/user/gurobi/CA2/500tests/test28.csv,551,873.2474588317293
C:/Users/user/gurobi/CA2/500tests/test29.csv,660,871.5978816937446
C:/Users/user/gurobi/CA2/500tests/test30.csv,964,1800.8185533094322
C:/Users/user/gurobi/CA2/500tests/test31.csv,763,3891.3965179546453
C:/Users/user/gurobi/CA2/500tests/test32.csv,793,1800.3228198171068
C:/Users/user/gurobi/CA2/500tests/test33.csv,973,825.5596386697727
C:/Users/user/gurobi/CA2/500tests/test34.csv,941,2579.7003408157566
C:/Users/user/gurobi/CA2/500tests/test35.csv,843,2249.4784337349947
C:/Users/user/gurobi/CA2/500tests/test36.csv,876,3135.4874105967783
C:/Users/user/gurobi/CA2/500tests/test37.csv,767,3788.0043075333497
C:/Users/user/gurobi/CA2/500tests/test38.csv,965,672.2377275180023
C:/Users/user/gurobi/CA2/500tests/test39.csv,608,534.1047298527664
C:/Users/user/gurobi/CA2/500tests/test40.csv,661,1090.034746257856
C:/Users/user/gurobi/CA2/500tests/test41.csv,752,3658.4222272279553
C:/Users/user/gurobi/CA2/500tests/test42.csv,907,979.1212394041017
C:/Users/user/gurobi/CA2/500tests/test43.csv,575,426.7800627079336
C:/Users/user/gurobi/CA2/500tests/test44.csv,691,768.1537210481509
C:/Users/user/gurobi/CA2/500tests/test45.csv,597,412.07092959222723
C:/Users/user/gurobi/CA2/500tests/test46.csv,621,540.2873641169797
C:/Users/user/gurobi/CA2/500tests/test47.csv,583,739.812835922858
C:/Users/user/gurobi/CA2/500tests/test48.csv,845,1352.146193862498
C:/Users/user/gurobi/CA2/500tests/test50.csv,971,676.0471834384464
C:/Users/user/gurobi/CA2/500tests/test51.csv,854,823.7626799931994
C:/Users/user/gurobi/CA2/500tests/test52.csv,513,613.328673079009
C:/Users/user/gurobi/CA2/500tests/test53.csv,663,829.9624018398
C:/Users/user/gurobi/CA2/500tests/test54.csv,988,1430.334866323107
C:/Users/user/gurobi/CA2/500tests/test55.csv,665,455.8060653354402
C:/Users/user/gurobi/CA2/500tests/test56.csv,679,480.70653806340863
C:/Users/user/gurobi/CA2/500tests/test57.csv,814,2197.2362272894684
C:/Users/user/gurobi/CA2/500tests/test58.csv,860,2378.202627901702
C:/Users/user/gurobi/CA2/500tests/test59.csv,794,2919.647747333583
C:/Users/user/gurobi/CA2/500tests/test60.csv,699,688.0600034174058
C:/Users/user/gurobi/CA2/500tests/test61.csv,520,360.0458794789128
C:/Users/user/gurobi/CA2/500tests/test62.csv,499,427.84090675522316
C:/Users/user/gurobi/CA2/500tests/test64.csv,746,902.1940085852857
C:/Users/user/gurobi/CA2/500tests/test65.csv,897,2082.4096717996426
C:/Users/user/gurobi/CA2/500tests/test66.csv,675,467.85680790489175
C:/Users/user/gurobi/CA2/500tests/test67.csv,517,830.5746596657191
C:/Users/user/gurobi/CA2/500tests/test68.csv,836,1529.917273422253
C:/Users/user/gurobi/CA2/500tests/test69.csv,668,621.2107447710086
C:/Users/user/gurobi/CA2/500tests/test70.csv,684,2470.580711413352
