path,tardy,makespan,tardy2,makespan2
C:/Users/user/gurobi/CA2/500tests/test0.csv,942,1292.3912854742136,939,1258.9014439415137
C:/Users/user/gurobi/CA2/500tests/test1.csv,820,444.8431810251881,814,437.5570584764378
C:/Users/user/gurobi/CA2/500tests/test2.csv,996,3067.823275850924,995,3001.8406307346095
C:/Users/user/gurobi/CA2/500tests/test3.csv,684,357.3811448324459,666,347.3130645660564
C:/Users/user/gurobi/CA2/500tests/test4.csv,713,753.1055697165059,710,736.1356120338347
C:/Users/user/gurobi/CA2/500tests/test5.csv,967,1567.1279814561076,964,1533.4221992189314
C:/Users/user/gurobi/CA2/500tests/test6.csv,782,452.84675896515455,771,441.7822940654571
C:/Users/user/gurobi/CA2/500tests/test7.csv,984,943.8094323700221,974,925.7638461740156
C:/Users/user/gurobi/CA2/500tests/test8.csv,705,463.1516034370446,703,449.8305215266505
C:/Users/user/gurobi/CA2/500tests/test9.csv,779,2398.9168317643757,779,2357.7602380567196
C:/Users/user/gurobi/CA2/500tests/test10.csv,589,2783.813061018571,589,2760.4624693790397
C:/Users/user/gurobi/CA2/500tests/test11.csv,941,1509.156009761001,940,1474.7433211326365
C:/Users/user/gurobi/CA2/500tests/test12.csv,729,384.22676730893994,719,374.0826619311859
C:/Users/user/gurobi/CA2/500tests/test13.csv,698,567.37677647327,692,555.4377646130431
C:/Users/user/gurobi/CA2/500tests/test14.csv,645,573.4749477749555,639,558.7554806297263
C:/Users/user/gurobi/CA2/500tests/test15.csv,685,522.6993252096134,680,508.7925381809152
C:/Users/user/gurobi/CA2/500tests/test16.csv,691,1108.5053066301457,691,1078.0704357428542
C:/Users/user/gurobi/CA2/500tests/test17.csv,500,611.8622650422417,491,592.3271587678963
C:/Users/user/gurobi/CA2/500tests/test18.csv,781,843.6744083140759,775,829.0139243356012
C:/Users/user/gurobi/CA2/500tests/test19.csv,802,481.44681835973967,793,475.24219018881917
C:/Users/user/gurobi/CA2/500tests/test20.csv,880,669.6135002753086,873,648.7514603915566
C:/Users/user/gurobi/CA2/500tests/test21.csv,644,705.8936748149646,642,688.4239572461
C:/Users/user/gurobi/CA2/500tests/test22.csv,851,964.7329266298517,845,934.4448462776281
C:/Users/user/gurobi/CA2/500tests/test23.csv,604,431.11923208438975,591,419.4017766172577
C:/Users/user/gurobi/CA2/500tests/test24.csv,508,832.0984210376309,503,812.2755412143989
C:/Users/user/gurobi/CA2/500tests/test25.csv,876,1659.0932535048469,873,1625.9124616388146
C:/Users/user/gurobi/CA2/500tests/test26.csv,574,2587.510246474787,574,2548.0643277386343
C:/Users/user/gurobi/CA2/500tests/test27.csv,539,1000.5565162754962,538,976.0350182728931
C:/Users/user/gurobi/CA2/500tests/test28.csv,699,2252.246338660352,698,2198.5705382132196
